58,name change,تغییر نام,9/4/2021,13/06/1400
59,Application Number,شماره درخواست,9/4/2021,13/06/1400
60,Request for exemption in direct purchase,درخواست معافیت در خرید مستقیم,9/4/2021,13/06/1400
61,Purchase confirmation request,درخواست تایید خرید,9/4/2021,13/06/1400
62,Replacement of equipment,تعویض لوازم,9/4/2021,13/06/1400
63,Collect,جمع آوری,9/4/2021,13/06/1400
64,Request error,خطا درخواست,9/4/2021,13/06/1400
65, Modify the receipt,اصلاح فیش ,9/4/2021,13/06/1400
66,Phone error,خطای تلفن,9/5/2021,14/06/1400
67,Request for exemption in direct purchase,درخواست معافیت در خرید مستقیم,9/5/2021,14/06/1400
68,Impossibility of creating a record,عدم امکان ایجاد سابقه,9/5/2021,14/06/1400
69,Rename request,تغییر نام درخواست,9/6/2021,15/06/1400
70,Branch fee slip,فیش هزینه انشعاب,9/6/2021,15/06/1400
71,Direct purchase exemption,معافیت خرید مستقیم,9/6/2021,15/06/1400
72,Application Number,شماره درخواست,9/6/2021,15/06/1400
73,Name change request,درخواست تغییر نام,9/6/2021,15/06/1400
74,No change in the contractor,عدم تغییر در پیمانکار,9/6/2021,15/06/1400
75,Branch cable,کابل انشعاب,9/7/2021,16/06/1400
76,Change phone number,تغییر شماره تلفن,9/7/2021,16/06/1400
77,Direct purchase link,لینک خرید مستقیم,9/7/2021,16/06/1400
78,Branching fee collection,جمع آوری هزینه انشعاب,9/7/2021,16/06/1400
79,Cable request,درخواست کابل,9/7/2021,16/06/1400
80,Collect request,جمع آوری درخواست,9/7/2021,16/06/1400
81,applying for,درخواست,9/7/2021,16/06/1400
82,Direct link,لینک ارسال مستقیم,9/8/2021,17/06/1400
83,Installation request,نصب درخواست,9/8/2021,17/06/1400
84,Record,ثبت,9/8/2021,17/06/1400
85,Representative registration,ثبت نماینده,9/8/2021,17/06/1400
86,Request power changes,تغییرات قدرت درخواست,9/8/2021,17/06/1400
87,Meter installation,نصب کنتور,9/8/2021,17/06/1400
88,Moving equipment,جابه جایی تجهیزات,9/8/2021,17/06/1400
89,Representative registration,ثبت نماینده,9/8/2021,17/06/1400
90,Equipment price,قیمت تجهیزات,9/8/2021,17/06/1400
91,Increase amperage,افزایش آمپراژ,9/11/2021,20/06/1400
92,Error creating record,خطای ایجاد سابقه,9/11/2021,20/06/1400
93,Counter payment return,بازگشت وجه کنتور,9/11/2021,20/06/1400
94,Increment error,خطای افزایش,9/11/2021,20/06/1400
95,No meter,عدم وجود کنتور,9/11/2021,20/06/1400
96,No change in the contractor,عدم تغییر در پیمانکار,9/11/2021,20/06/1400
97,Inventory of the district,موجودی ناحیه,9/12/2021,21/06/1400
98,Counter payment return,بازگشت وجه کنتور,9/12/2021,21/06/1400
99,It is not possible to change the request,عدم امکان تغییر درخواست,9/12/2021,21/06/1400
100,Registration of exemption,ثبت معافیت,9/12/2021,21/06/1400
101,Moving the meter,جابه جایی کنتور,9/12/2021,21/06/1400
102,Exemption from payment of branching fee,معافیت در پرداخت هزینه انشعاب,9/12/2021,21/06/1400
103,Change phone number,تغییر شماره تلفن,9/12/2021,21/06/1400
104,Direct purchase applicant,متقاضی خرید مستقیم,9/12/2021,21/06/1400
105,Moving equipment,جابه جایی تجهیزات,9/13/2021,22/06/1400
106,Confirmation of meter purchase,تایید خرید کنتور,9/13/2021,22/06/1400
107,Purchase confirmation,تایید خرید,9/13/2021,22/06/1400
108,Meter installation,نصب کنتور,9/13/2021,22/06/1400
109,Record,ثبت,9/13/2021,22/06/1400
110,Inventory of the district,موجودی ناحیه,9/13/2021,22/06/1400
111,Branch fee approval,تایید هزینه انشعاب,9/13/2021,22/06/1400
112,Return from the purchase of the meter,بازگشت از خرید کنتور,9/13/2021,22/06/1400
113,File request,بایگانی درخواست,9/13/2021,22/06/1400
114,Unable to send to installation,عدم امکان ارسال به نصب,9/14/2021,23/06/1400
115,Purchase confirmation request,درخواست تایید خرید,9/14/2021,23/06/1400
116,commission,کمیسون,9/14/2021,23/06/1400
117,Design Commission,کمسیون طرح,9/14/2021,23/06/1400
118,Buy a meter,خرید کنتور,9/14/2021,23/06/1400
119,Cable request,درخواست کابل,9/14/2021,23/06/1400
120,Request changes,تغییرات درخواست,9/14/2021,23/06/1400
121,Change in request,تغییر در درخواست,9/15/2021,24/06/1400
122,Branching fee collection,جمع آوری هزینه انشعاب,9/15/2021,24/06/1400
123,Confirmation of meter purchase,تایید خرید کنتور,9/15/2021,24/06/1400
124,Change the name of the branch,تغییر نام انشعاب,9/15/2021,24/06/1400
125,displacement,جابه جایی,9/15/2021,24/06/1400
126,Purchase confirmation,تایید خرید,9/15/2021,24/06/1400
127,Failure to register equipment information,عدم ثبت اطلاعات تجهیز,9/18/2021,27/06/1400
128,Return from the purchase of the meter,بازگشت از خرید کنتور,9/18/2021,27/06/1400
129,Installation request,نصب درخواست,9/18/2021,27/06/1400
130,Impossibility of creating a record,عدم امکان ایجاد سابقه,9/18/2021,27/06/1400
131,Record error,خطای ثبت سابقه,9/18/2021,27/06/1400
132,Confirmation of meter purchase,تایید خرید کنتور,9/18/2021,27/06/1400
133,Moving equipment,جابه جایی تجهیزات,9/18/2021,27/06/1400
134,Exemption from payment of branching fee,معافیت در پرداخت هزینه انشعاب,9/19/2021,28/06/1400
135,Reduction of amperage,کاهش آمپراژ,9/19/2021,28/06/1400
136,It is not possible to send a link,عدم امکان ارسال لینک,9/19/2021,28/06/1400
137,Change in request,تغییر در درخواست,9/19/2021,28/06/1400
138,Name change request,درخواست تغییر نام,9/19/2021,28/06/1400
139,Change of representative,تغییر نماینده,9/19/2021,28/06/1400
140,It is not possible to register a replacement request,عدم امکان ثبت درخواست تعویض,9/20/2021,29/06/1400
141,Confirmation of meter purchase,تایید خرید کنتور,9/20/2021,29/06/1400
142,Failure to register equipment information,عدم ثبت اطلاعات تجهیز,9/20/2021,29/06/1400
143,Direct purchase exemption,معافیت خرید مستقیم,9/20/2021,29/06/1400
144,Direct purchase exemption,معافیت خرید مستقیم,9/20/2021,29/06/1400
145,Direct purchase link,لینک خرید مستقیم,9/20/2021,29/06/1400
146,Installation request,نصب درخواست,9/20/2021,29/06/1400
147,Return from the purchase of the meter,بازگشت از خرید کنتور,9/21/2021,30/06/1400
148,Commission change,تغیییر کمیسیون,9/21/2021,30/06/1400
149,Direct purchase exemption,معافیت خرید مستقیم,9/21/2021,30/06/1400
150,Branch cost modification,اصلاح هزینه انشعاب,9/21/2021,30/06/1400
151,Power changes,تغییرات قدرت,9/22/2021,31/06/1400
152,Delete request,حذف درخواست,9/22/2021,31/06/1400
153,Lack of meter inventory,عدم موجودی کنتور,9/22/2021,31/06/1400
154,Request error,خطا درخواست,9/22/2021,31/06/1400
155,name change,تغییر نام,9/22/2021,31/06/1400
156,Change the name of the branch,تغییر نام انشعاب,9/22/2021,31/06/1400
157,Direct purchase exemption,معافیت خرید مستقیم,9/22/2021,31/06/1400
158,Failure to register an application,عدم ثبت درخواست,9/22/2021,31/06/1400
159,Branch,انشعاب,9/25/2021,03/07/1400
160,Inventory of the district,موجودی ناحیه,9/25/2021,03/07/1400
161,Error creating record,خطای ایجاد سابقه,9/25/2021,03/07/1400
162,Installation submission error,خطای ارسال نصب,9/25/2021,03/07/1400
163,Failure to register an application,عدم ثبت درخواست,9/25/2021,03/07/1400
164,Collect request,جمع آوری درخواست,9/25/2021,03/07/1400
165,Branch,انشعاب,9/25/2021,03/07/1400
166,applying for,درخواست,9/25/2021,03/07/1400
167,displacement,جابه جایی,9/26/2021,04/07/1400
168,Installation request,نصب درخواست,9/26/2021,04/07/1400
169,Branch fee approval,تایید هزینه انشعاب,9/26/2021,04/07/1400
170,Request error,خطا درخواست,9/26/2021,04/07/1400
171,Design Commission,کمسیون طرح,9/26/2021,04/07/1400
172,My age system,سامانه سنم,9/26/2021,04/07/1400
173,Failure to register an application,عدم ثبت درخواست,9/26/2021,04/07/1400
174,Application Number,شماره درخواست,9/28/2021,06/07/1400
175,Installation submission error,خطای ارسال نصب,9/28/2021,06/07/1400
176,Branch cable,کابل انشعاب,9/28/2021,06/07/1400
177,Increase amperage,افزایش آمپراژ,9/29/2021,07/07/1400
178,Failure to display the purchased meter,عدم نمایش کنتور خریداری شده,9/29/2021,07/07/1400
179,Branch cost modification,اصلاح هزینه انشعاب,9/29/2021,07/07/1400
180,Purchase of the meter by the applicant,خرید کنتور توسط متقاضی,9/29/2021,07/07/1400
181,Inventory of the district,موجودی ناحیه,9/29/2021,07/07/1400
182,applying for,درخواست,9/29/2021,07/07/1400
183,Changes,تغییرات,9/29/2021,07/07/1400
184,Request to change the requested branch name,درخواست تغییر نام انشعاب درخواستی,10/2/2021,10/07/1400
185,Branching somewhere,جا به جایی انشعاب,10/2/2021,10/07/1400
186,meter,کنتور,10/2/2021,10/07/1400
187,Direct purchase exemption,معافیت خرید مستقیم,10/2/2021,10/07/1400
188,Power changes,تغییرات قدرت,10/2/2021,10/07/1400
189,Company commitment applicant,متقاضی تعهد شرکت,10/2/2021,10/07/1400
190, Modify the receipt,اصلاح فیش ,10/2/2021,10/07/1400
191,Commission change,تغیییر کمیسیون,10/2/2021,10/07/1400
192,Moving the meter,جابه جایی کنتور,10/3/2021,11/07/1400
193,commission,کمیسون,10/3/2021,11/07/1400
194,Counter payment return,بازگشت وجه کنتور,10/3/2021,11/07/1400
195,Application Number,شماره درخواست,10/3/2021,11/07/1400
196,applying for,درخواست,10/3/2021,11/07/1400
197,Moving equipment,جابه جایی تجهیزات,10/3/2021,11/07/1400
198,No information error,خطای عدم وجود اطلاعات,10/4/2021,12/07/1400
199,Equipment price,قیمت تجهیزات,10/4/2021,12/07/1400
200,Registration of exemption,ثبت معافیت,10/4/2021,12/07/1400
201,Design Commission,کمسیون طرح,10/4/2021,12/07/1400
202,Error creating record,خطای ایجاد سابقه,10/4/2021,12/07/1400
203,Power changes,تغییرات قدرت,10/4/2021,12/07/1400
204,Send direct link,ارسال لینک مستقیم,10/4/2021,12/07/1400
205,Branch cost modification,اصلاح هزینه انشعاب,10/4/2021,12/07/1400
206, Collect,جمع آوری ,10/9/2021,17/07/1400
207,Branch fee approval,تایید هزینه انشعاب,10/9/2021,17/07/1400
208,Request for exemption in direct purchase,درخواست معافیت در خرید مستقیم,10/9/2021,17/07/1400
209,commission,کمیسون,10/9/2021,17/07/1400
210,Confirmation of meter purchase,تایید خرید کنتور,10/9/2021,17/07/1400
211,Phone error,خطای تلفن,10/9/2021,17/07/1400
212,Purchase confirmation,تایید خرید,10/10/2021,18/07/1400
213,Return from the purchase of the meter,بازگشت از خرید کنتور,10/10/2021,18/07/1400
214,Rename request,تغییر نام درخواست,10/10/2021,18/07/1400
215,Request changes,تغییرات درخواست,10/10/2021,18/07/1400
216,change phone,تغییر تلفن,10/10/2021,18/07/1400
217,Name change request,درخواست تغییر نام,10/10/2021,18/07/1400
218,Unable to send to installation,عدم امکان ارسال به نصب,10/10/2021,18/07/1400
219,Change of name in branch application,تغییر نام در درخواست انشعاب,10/11/2021,19/07/1400
220,Change in request,تغییر در درخواست,10/11/2021,19/07/1400
221,File request,بایگانی درخواست,10/11/2021,19/07/1400
222,Exemption from payment of branching fee,معافیت در پرداخت هزینه انشعاب,10/11/2021,19/07/1400
223,Application Number,شماره درخواست,10/11/2021,19/07/1400
224,Power changes,تغییرات قدرت,10/12/2021,20/07/1400
225,It is not possible to send a link,عدم امکان ارسال لینک,10/12/2021,20/07/1400
226,Reduction of amperage,کاهش آمپراژ,10/12/2021,20/07/1400
227,Moving the meter,جابه جایی کنتور,10/12/2021,20/07/1400
228,Branch fee approval,تایید هزینه انشعاب,10/12/2021,20/07/1400
229,Exemption from payment of branching fee,معافیت در پرداخت هزینه انشعاب,10/12/2021,20/07/1400
230,Request error,خطا درخواست,10/12/2021,20/07/1400
231,Error creating record,خطای ایجاد سابقه,10/13/2021,21/07/1400
232,applying for,درخواست,10/13/2021,21/07/1400
233,Unable to send to installation,عدم امکان ارسال به نصب,10/13/2021,21/07/1400
234,meter,کنتور,10/13/2021,21/07/1400
235,Impossibility of creating a record,عدم امکان ایجاد سابقه,10/13/2021,21/07/1400
236,Name change request,درخواست تغییر نام,10/16/2021,24/07/1400
237,Commission,کمیسیون,10/16/2021,24/07/1400
238,Meter installation,نصب کنتور,10/16/2021,24/07/1400
239,Cable request,درخواست کابل,10/16/2021,24/07/1400
240,Change of representative,تغییر نماینده,10/16/2021,24/07/1400
241,Direct purchase link,لینک خرید مستقیم,10/16/2021,24/07/1400
242,commission,کمیسون,10/16/2021,24/07/1400
243,displacement,جابه جایی,10/17/2021,25/07/1400
244,Name change request,درخواست تغییر نام,10/17/2021,25/07/1400
245,Exemption,معافیت,10/17/2021,25/07/1400
246,Purchase of the meter by the applicant,خرید کنتور توسط متقاضی,10/17/2021,25/07/1400
247,Error creating record,خطای ایجاد سابقه,10/17/2021,25/07/1400
248,Return of branching point,بازگشت وجه انشعاب,10/17/2021,25/07/1400
249,Request error,خطا درخواست,10/17/2021,25/07/1400
250,Failure to register the national code,عدم ثبت کد ملی,10/17/2021,25/07/1400
251,Error in national code,خطا در کد ملی,10/17/2021,25/07/1400
252,Error in national code,خطا در کد ملی,10/17/2021,25/07/1400
253,Company commitment applicant,متقاضی تعهد شرکت,10/18/2021,26/07/1400
254,change phone,تغییر تلفن,10/18/2021,26/07/1400
255,Direct purchase link,لینک خرید مستقیم,10/18/2021,26/07/1400
256,Branch fee slip,فیش هزینه انشعاب,10/18/2021,26/07/1400
257,File request,بایگانی درخواست,10/19/2021,27/07/1400
258,No meter,عدم وجود کنتور,10/19/2021,27/07/1400
259,My age system,سامانه سنم,10/19/2021,27/07/1400
260,It is not possible to register a replacement request,عدم امکان ثبت درخواست تعویض,10/20/2021,28/07/1400
261,agreement,توافق نامه,10/20/2021,28/07/1400
262,Application Number,شماره درخواست,10/25/2021,03/08/1400
263,Branching somewhere,جا به جایی انشعاب,10/25/2021,03/08/1400
264,It is not possible to change the request,عدم امکان تغییر درخواست,10/25/2021,03/08/1400
265,My age system,سامانه سنم,10/25/2021,03/08/1400
266,Changes,تغییرات,10/25/2021,03/08/1400
267,Rename request,تغییر نام درخواست,10/26/2021,04/08/1400
268,Return of branching point,بازگشت وجه انشعاب,10/26/2021,04/08/1400
269,Failure to display the purchased meter,عدم نمایش کنتور خریداری شده,10/26/2021,04/08/1400
270,Moving equipment,جابه جایی تجهیزات,10/26/2021,04/08/1400
271,meter,کنتور,10/27/2021,05/08/1400
272,Record error,خطای ثبت سابقه,10/27/2021,05/08/1400
273,Company commitment applicant,متقاضی تعهد شرکت,10/27/2021,05/08/1400
274,Exemption from payment of branching fee,معافیت در پرداخت هزینه انشعاب,10/27/2021,05/08/1400
275,Request error,خطا درخواست,10/27/2021,05/08/1400
276,Failure to display the purchased meter,عدم نمایش کنتور خریداری شده,10/27/2021,05/08/1400
277,Failure to register the national code,عدم ثبت کد ملی,10/27/2021,05/08/1400
278,Direct link,لینک ارسال مستقیم,10/27/2021,05/08/1400
279,It is not possible to change the request,عدم امکان تغییر درخواست,10/27/2021,05/08/1400
280,Failure to register an application,عدم ثبت درخواست,10/27/2021,05/08/1400
281,Request error,خطا درخواست,10/30/2021,08/08/1400
282,Request changes,تغییرات درخواست,10/30/2021,08/08/1400
283,Failure to record amperage increase,عدم ثبت افزایش آمپراژ,10/30/2021,08/08/1400
284,Design Commission,کمسیون طرح,10/30/2021,08/08/1400
285,Commission,کمیسیون,10/30/2021,08/08/1400
286,Record error,خطای ثبت سابقه,10/30/2021,08/08/1400
287,Counter payment return,بازگشت وجه کنتور,10/30/2021,08/08/1400
288,File request,بایگانی درخواست,10/31/2021,09/08/1400
289,Collect request,جمع آوری درخواست,10/31/2021,09/08/1400
290,Increment error,خطای افزایش,10/31/2021,09/08/1400
291,Branch,انشعاب,10/31/2021,09/08/1400
292,Record,ثبت,10/31/2021,09/08/1400
293,Error creating record,خطای ایجاد سابقه,11/1/2021,10/08/1400
294, Collect,جمع آوری ,11/1/2021,10/08/1400
295,meter,کنتور,11/1/2021,10/08/1400
296,Send direct link,ارسال لینک مستقیم,11/1/2021,10/08/1400
297,Change of name in branch application,تغییر نام در درخواست انشعاب,11/1/2021,10/08/1400
298,Cable request,درخواست کابل,11/1/2021,10/08/1400
299,Cable request,درخواست کابل,11/2/2021,11/08/1400
300,It is not possible to send a link,عدم امکان ارسال لینک,11/2/2021,11/08/1400
301,Branch,انشعاب,11/2/2021,11/08/1400
302,Record error,خطای ثبت سابقه,11/2/2021,11/08/1400
303, Modify the receipt,اصلاح فیش ,11/2/2021,11/08/1400
304,Power changes,تغییرات قدرت,11/2/2021,11/08/1400
305,Delete request,حذف درخواست,11/2/2021,11/08/1400
306,Changing the national code,تغییر کد ملی,11/2/2021,11/08/1400
307,Direct purchase applicant,متقاضی خرید مستقیم,11/2/2021,11/08/1400
308,Meter installation,نصب کنتور,11/2/2021,11/08/1400
309,National code error,خطای کد ملی,11/3/2021,12/08/1400
310,Failure to register equipment information,عدم ثبت اطلاعات تجهیز,11/3/2021,12/08/1400
311,Purchase of the meter by the applicant,خرید کنتور توسط متقاضی,11/3/2021,12/08/1400
312,Increment error,خطای افزایش,11/3/2021,12/08/1400
313,Design Commission,کمسیون طرح,11/3/2021,12/08/1400
314,Representative registration,ثبت نماینده,11/3/2021,12/08/1400
315,Representative registration,ثبت نماینده,11/3/2021,12/08/1400
316,National code error,خطای کد ملی,11/3/2021,12/08/1400
317,Send direct link,ارسال لینک مستقیم,11/3/2021,12/08/1400
318,Failure to record amperage increase,عدم ثبت افزایش آمپراژ,11/3/2021,12/08/1400
319,Moving equipment,جابه جایی تجهیزات,11/6/2021,15/08/1400
320,My age system,سامانه سنم,11/6/2021,15/08/1400
321,Send direct link,ارسال لینک مستقیم,11/6/2021,15/08/1400
322,Commission change,تغیییر کمیسیون,11/6/2021,15/08/1400
323,Moving equipment,جابه جایی تجهیزات,11/6/2021,15/08/1400
324,Failure to register an application,عدم ثبت درخواست,11/6/2021,15/08/1400
325,Change phone number,تغییر شماره تلفن,11/7/2021,16/08/1400
326,purchase request,درخواست خرید,11/7/2021,16/08/1400
327,Cable request,درخواست کابل,11/7/2021,16/08/1400
328,Branch fee slip,فیش هزینه انشعاب,11/7/2021,16/08/1400
329,Change phone number,تغییر شماره تلفن,11/8/2021,17/08/1400
330,Replacement of equipment,تعویض لوازم,11/8/2021,17/08/1400
331,Request error,خطا درخواست,11/8/2021,17/08/1400
332,Meter fee return,بازگشت هزینه کنتور,11/8/2021,17/08/1400
333,Request error,خطا درخواست,11/8/2021,17/08/1400
334,It is not possible to change the request,عدم امکان تغییر درخواست,11/8/2021,17/08/1400
335,Phone error,خطای تلفن,11/8/2021,17/08/1400
336,Send direct link,ارسال لینک مستقیم,11/9/2021,18/08/1400
337,Power changes,تغییرات قدرت,11/9/2021,18/08/1400
338,Request error,خطا درخواست,11/9/2021,18/08/1400
339,Collect request,جمع آوری درخواست,11/9/2021,18/08/1400
340,Request changes,تغییرات درخواست,11/9/2021,18/08/1400
341,Moving equipment,جابه جایی تجهیزات,11/9/2021,18/08/1400
342,Equipment price,قیمت تجهیزات,11/10/2021,19/08/1400
343,My age system,سامانه سنم,11/10/2021,19/08/1400
344,Impossibility of creating a record,عدم امکان ایجاد سابقه,11/10/2021,19/08/1400
345,Rename request,تغییر نام درخواست,11/10/2021,19/08/1400
346,Direct purchase exemption,معافیت خرید مستقیم,11/10/2021,19/08/1400
347,Purchase confirmation request,درخواست تایید خرید,11/10/2021,19/08/1400
348,My age system,سامانه سنم,11/10/2021,19/08/1400
349,Error in national code,خطا در کد ملی,11/13/2021,22/08/1400
350,change phone,تغییر تلفن,11/13/2021,22/08/1400
351, Collect,جمع آوری ,11/13/2021,22/08/1400
352,Representative registration,ثبت نماینده,11/13/2021,22/08/1400
353,Collect,جمع آوری,11/13/2021,22/08/1400
354,Approval of exemption,تایید معافیت,11/13/2021,22/08/1400
355,Failure to register the national code,عدم ثبت کد ملی,11/13/2021,22/08/1400
356,Moving equipment,جابه جایی تجهیزات,11/13/2021,22/08/1400
357,commission,کمیسون,11/13/2021,22/08/1400
358,Collect,جمع آوری,11/13/2021,22/08/1400
359,Replacement of equipment,تعویض لوازم,11/13/2021,22/08/1400
360,Branch cable,کابل انشعاب,11/13/2021,22/08/1400
361,meter,کنتور,11/13/2021,22/08/1400
362,Error in national code,خطا در کد ملی,11/13/2021,22/08/1400
363,Wrong national code,کد ملی اشتباه,11/13/2021,22/08/1400
364,Failure to register the national application code,عدم ثبت کد ملی درخواست,11/13/2021,22/08/1400
365,Failure to register the national code,عدم ثبت کد ملی,11/13/2021,22/08/1400
366,Change of representative,تغییر نماینده,11/14/2021,23/08/1400
367,Change phone number,تغییر شماره تلفن,11/14/2021,23/08/1400
368,Design Commission,کمسیون طرح,11/14/2021,23/08/1400
369,Wrong national code,کد ملی اشتباه,11/15/2021,24/08/1400
370,purchase request,درخواست خرید,11/15/2021,24/08/1400
371,Delete request,حذف درخواست,11/15/2021,24/08/1400
372,the receipt,فیش,11/15/2021,24/08/1400
373,Representative registration,ثبت نماینده,11/15/2021,24/08/1400
374,Branching somewhere,جا به جایی انشعاب,11/15/2021,24/08/1400
375,Exemption,معافیت,11/16/2021,25/08/1400
376,Direct purchase exemption,معافیت خرید مستقیم,11/16/2021,25/08/1400
377,Installation submission error,خطای ارسال نصب,11/16/2021,25/08/1400
378,Changing the national code,تغییر کد ملی,11/16/2021,25/08/1400
379,No change in the contractor,عدم تغییر در پیمانکار,11/16/2021,25/08/1400
380,Installation request,نصب درخواست,11/16/2021,25/08/1400
381,Request power changes,تغییرات قدرت درخواست,11/16/2021,25/08/1400
382, Collect,جمع آوری ,11/16/2021,25/08/1400
383,Purchase confirmation,تایید خرید,11/17/2021,26/08/1400
384,applying for,درخواست,11/17/2021,26/08/1400
385,Request for exemption in direct purchase,درخواست معافیت در خرید مستقیم,11/17/2021,26/08/1400
386,Exemption from payment of branching fee,معافیت در پرداخت هزینه انشعاب,11/17/2021,26/08/1400
387,Failure to register an application,عدم ثبت درخواست,11/17/2021,26/08/1400
388,meter,کنتور,11/17/2021,26/08/1400
389,Collect request,جمع آوری درخواست,11/17/2021,26/08/1400
390,Purchase confirmation,تایید خرید,11/17/2021,26/08/1400
391,Cable request,درخواست کابل,11/20/2021,29/08/1400
392,displacement,جابه جایی,11/20/2021,29/08/1400
393,Failure to display the purchased meter,عدم نمایش کنتور خریداری شده,11/20/2021,29/08/1400
394,Send direct link,ارسال لینک مستقیم,11/20/2021,29/08/1400
395,Purchase of the meter by the applicant,خرید کنتور توسط متقاضی,11/20/2021,29/08/1400
396,the receipt,فیش,11/20/2021,29/08/1400
397,Error in national code,خطا در کد ملی,11/21/2021,30/08/1400
398,Branching somewhere,جا به جایی انشعاب,11/21/2021,30/08/1400
399,Failure to display the purchased meter,عدم نمایش کنتور خریداری شده,11/21/2021,30/08/1400
400,Branch cable,کابل انشعاب,11/21/2021,30/08/1400
401,Error creating record,خطای ایجاد سابقه,11/21/2021,30/08/1400
402, Collect,جمع آوری ,11/21/2021,30/08/1400
403,Failure to register the national application code,عدم ثبت کد ملی درخواست,11/21/2021,30/08/1400
404,Request error,خطا درخواست,11/21/2021,30/08/1400
405,Phone error,خطای تلفن,11/22/2021,01/09/1400
406,Failure to display the purchased meter,عدم نمایش کنتور خریداری شده,11/22/2021,01/09/1400
407,Counter payment return,بازگشت وجه کنتور,11/22/2021,01/09/1400
408,Failure to record amperage increase,عدم ثبت افزایش آمپراژ,11/22/2021,01/09/1400
409,No meter,عدم وجود کنتور,11/22/2021,01/09/1400
410,Reduction of amperage,کاهش آمپراژ,11/22/2021,01/09/1400
411,Request for exemption in direct purchase,درخواست معافیت در خرید مستقیم,11/22/2021,01/09/1400
412,Installation submission error,خطای ارسال نصب,11/22/2021,01/09/1400
